CarRegistration,start,end,latitude,longitude,duration
KF44LNGP,2022-07-04 18:06:05,2022-07-04 18:13:15,-26.13088399999988,28.026016606299034,430.0
KF44LNGP,2022-07-04 19:16:55,2022-07-04 19:23:25,-26.15176739999803,28.159369351520535,390.0
KF44LNGP,2022-07-04 19:35:15,2022-07-04 19:52:45,-26.13457833816044,28.22897201541995,1050.0
KF44LNGP,2022-07-04 20:20:05,2022-07-04 20:43:25,-26.04525107970246,28.219077848424583,1400.0
KF44LNGP,2022-07-04 21:11:45,2022-07-04 21:52:25,-26.13439740624076,28.229281616604712,2440.0
KF44LNGP,2022-07-04 21:56:15,2022-07-04 22:38:55,-26.134337287937797,28.23056769649788,2560.0
KF44LNGP,2022-07-04 23:09:05,2022-07-04 23:14:25,-25.74104990909091,28.246419090909075,320.0
KF44LNGP,2022-07-05 00:14:35,2022-07-05 00:35:05,-25.773473370967764,28.228192532258056,1230.0
KF44LNGP,2022-07-05 01:27:45,2022-07-05 13:28:35,-25.995083225136415,28.176732657709568,43250.0
KF44LNGP,2022-07-05 14:00:45,2022-07-05 14:10:05,-26.12463400000001,28.23564899999998,560.0
KF44LNGP,2022-07-05 14:15:25,2022-07-05 14:40:05,-26.13383299999996,28.22958400000006,1480.0
KF44LNGP,2022-07-05 14:59:55,2022-07-05 15:07:45,-26.083105773747636,28.11367192962906,470.0
KF44LNGP,2022-07-05 15:22:55,2022-07-05 15:27:55,-26.075365000000005,28.061100000000007,300.0
KF44LNGP,2022-07-05 15:54:45,2022-07-05 16:21:35,-26.134524185185185,28.228846969135763,1610.0
KF44LNGP,2022-07-05 16:25:55,2022-07-05 16:39:05,-26.134700999999968,28.230516000000033,790.0
KF44LNGP,2022-07-05 17:20:05,2022-07-05 17:27:25,-26.08974666666666,28.092647500000016,440.0
KF44LNGP,2022-07-05 18:32:45,2022-07-05 19:18:45,-26.13453760288807,28.228975339350185,2760.0
KF44LNGP,2022-07-05 19:23:15,2022-07-05 19:50:55,-26.134466000000003,28.229999999999954,1660.0
KF44LNGP,2022-07-05 20:52:25,2022-07-05 22:10:15,-26.142949197828248,28.07433289102569,4670.0
KF44LNGP,2022-07-05 22:27:45,2022-07-05 23:35:35,-26.134698262254997,28.228963066176366,4070.0
KF44LNGP,2022-07-05 23:39:25,2022-07-05 23:57:35,-26.133734,28.229534000000047,1090.0
KF44LNGP,2022-07-06 00:39:35,2022-07-06 11:25:05,-25.99501812525109,28.176734072673696,38730.0
KF44LNGP,2022-07-06 12:44:35,2022-07-06 15:01:05,-26.134503033925576,28.228810620645163,8190.0
KF44LNGP,2022-07-06 15:04:45,2022-07-06 15:43:05,-26.133949000000026,28.229615999999893,2300.0
KF44LNGP,2022-07-06 16:19:55,2022-07-06 16:31:05,-25.86841622058826,28.23559999999998,670.0
KF44LNGP,2022-07-06 16:41:15,2022-07-06 16:53:35,-25.875135728166313,28.215253857472774,740.0
KF44LNGP,2022-07-06 17:13:45,2022-07-06 17:22:05,-26.009354288330893,28.25478167592918,500.0
KF44LNGP,2022-07-06 17:53:25,2022-07-06 17:58:35,-26.13445100000001,28.228815000000022,310.0
KF44LNGP,2022-07-06 19:45:55,2022-07-06 20:46:45,-26.13411699999979,28.230365999999822,3650.0
KF44LNGP,2022-07-06 21:35:15,2022-07-06 21:44:05,-26.005513222222195,28.25352344444447,530.0
KF44LNGP,2022-07-06 21:56:15,2022-07-06 22:04:45,-26.13425099999997,28.230199999999986,510.0
KF44LNGP,2022-07-06 23:22:45,2022-07-06 23:38:15,-26.134700728723363,28.228950712766,930.0
KF44LNGP,2022-07-07 01:15:55,2022-07-07 10:58:55,-25.99508229612604,28.176735717956184,34980.0
KF44LNGP,2022-07-07 11:31:15,2022-07-07 11:48:55,-26.134322544837826,28.228662507751512,1060.0
KF44LNGP,2022-07-07 11:49:35,2022-07-07 12:07:25,-26.134673527777796,28.22898091666669,1070.0
KF44LNGP,2022-07-07 12:12:15,2022-07-07 12:40:05,-26.133698999999986,28.230234000000024,1670.0
KF44LNGP,2022-07-07 13:29:55,2022-07-07 13:37:45,-26.09124837499999,28.014640437500002,470.0
KF44LNGP,2022-07-07 13:45:25,2022-07-07 13:54:05,-26.075841509433957,28.027969528301877,520.0
KF44LNGP,2022-07-07 14:01:35,2022-07-07 14:49:55,-26.075359278617356,28.06040722914179,2900.0
KF44LNGP,2022-07-07 14:50:35,2022-07-07 15:12:35,-26.075384000000078,28.061016000000077,1320.0
KF44LNGP,2022-07-07 15:52:25,2022-07-07 16:29:15,-26.134398999999892,28.22918337837847,2210.0
KF44LNGP,2022-07-07 16:30:05,2022-07-07 16:49:05,-26.134591794251207,28.228933095790403,1140.0
KF44LNGP,2022-07-07 16:53:45,2022-07-07 17:08:25,-26.13464900000004,28.229882999999976,880.0
KF44LNGP,2022-07-07 17:25:55,2022-07-07 17:32:55,-26.090547755813972,28.091578465116278,420.0
KF44LNGP,2022-07-07 17:46:55,2022-07-07 18:05:35,-26.107031221238994,28.06296078761059,1120.0
KF44LNGP,2022-07-07 18:06:15,2022-07-07 18:39:55,-26.106975019186223,28.062562712581073,2020.0
KF44LNGP,2022-07-07 18:46:25,2022-07-07 18:55:25,-26.10023361818179,28.06584930909092,540.0
KF44LNGP,2022-07-07 20:38:05,2022-07-07 21:25:05,-25.899101067137913,27.888774000000172,2820.0
KF44LNGP,2022-07-07 21:32:55,2022-07-07 21:38:05,-25.935130999999988,27.924849999999996,310.0
KF44LNGP,2022-07-07 22:33:15,2022-07-07 22:57:25,-26.035249999999937,28.193033000000007,1450.0
KF44LNGP,2022-07-07 23:29:45,2022-07-07 23:36:25,-25.75340382926832,28.194984243902436,400.0
KF44LNGP,2022-07-08 00:03:55,2022-07-08 00:34:05,-25.773499868131765,28.22822865384622,1810.0
KF44LNGP,2022-07-08 01:28:15,2022-07-08 12:22:45,-25.995082027995377,28.17671701636914,39270.0
KF44LNGP,2022-07-08 12:54:05,2022-07-08 13:23:45,-26.134607849162016,28.229112882681637,1780.0
