Reg,start,end,duration,distance,energy,epk,v ave
KF44LNGP,2022-07-01 10:19:45,2022-07-01 11:33:55,4450.0,78.60536136887785,17.150942951559152,0.2181904981146707,63.14906367041199
KF44LNGP,2022-07-01 13:10:35,2022-07-01 14:12:55,3740.0,32.4173307501432,8.330468984783447,0.2569757840024089,38.92139461845344
KF44LNGP,2022-07-01 16:35:45,2022-07-01 17:26:15,3030.0,17.556995767157883,5.548374894121748,0.31602074567338784,24.71083608360836
KF44LNGP,2022-07-01 18:07:55,2022-07-01 19:46:35,5920.0,107.93404824236276,23.28933497739003,0.21577375588743328,64.00310891248391
KF44LNGP,2022-07-01 20:49:55,2022-07-01 22:18:55,5340.0,99.08863806011068,20.198663638146144,0.20384439662893458,66.01755172106294
KF44LNGP,2022-07-02 00:00:15,2022-07-02 00:23:05,1370.0,30.64559643975177,7.655695341850852,0.24981387968420507,82.29014598540147
KF44LNGP,2022-07-02 09:53:35,2022-07-02 12:29:15,9340.0,117.83953046945561,30.319972922332017,0.2572988266462166,47.9202533904354
KF44LNGP,2022-07-02 13:32:05,2022-07-02 14:32:25,3620.0,53.48563169527668,11.68066985594453,0.21838892961931775,53.68184688239938
KF44LNGP,2022-07-02 16:02:25,2022-07-02 16:59:45,3440.0,59.62673702534327,13.767380661680873,0.23089273954114403,60.72468507751938
KF44LNGP,2022-07-02 19:38:35,2022-07-02 20:34:15,3340.0,53.028957588540784,11.022842631939024,0.2078645919738198,55.92428001140576
KF44LNGP,2022-07-03 10:18:55,2022-07-03 11:09:55,3060.0,40.99807592684046,9.161621869373489,0.22346467882351512,45.206481481481475
KF44LNGP,2022-07-03 11:27:25,2022-07-03 13:37:55,7830.0,125.44694304047762,25.931619104506083,0.20671383834470003,56.692073628088956
KF44LNGP,2022-07-03 13:59:25,2022-07-03 14:26:15,1610.0,36.988672797990766,7.073682074897076,0.19123914268373857,77.73623188405797
KF44LNGP,2022-07-03 14:56:55,2022-07-03 15:37:45,2450.0,35.97634383976055,8.567746398366463,0.2381494472180775,53.544496274700364
KF44LNGP,2022-07-03 16:19:05,2022-07-03 18:27:05,7680.0,98.21605686208895,23.352651614462303,0.2377681650084279,44.10291521990741
KF44LNGP,2022-07-03 19:21:05,2022-07-03 20:29:35,4110.0,59.62808265760458,12.939180713541191,0.21699810117726487,51.32043988722821
KF44LNGP,2022-07-03 21:00:35,2022-07-03 22:02:35,3720.0,51.181061101962065,12.00530035268038,0.23456528829606751,50.83650793650793
KF44LNGP,2022-07-04 01:50:25,2022-07-04 02:44:05,3220.0,84.15843203063551,19.73406807458656,0.23448711672055544,90.60043256433006
KF44LNGP,2022-07-04 13:40:05,2022-07-04 16:31:55,10310.0,145.32234556023866,35.577844515474894,0.244820191817832,51.12468477206596
KF44LNGP,2022-07-04 17:19:05,2022-07-04 20:20:35,10890.0,103.21398943290892,24.042977996227194,0.23294301604198328,34.81520471671987
KF44LNGP,2022-07-04 20:43:25,2022-07-04 21:11:45,1700.0,22.12061368462141,4.172729664721173,0.18863534819660624,46.728431372549025
KF44LNGP,2022-07-05 00:35:05,2022-07-05 01:28:45,3220.0,49.09994941893896,11.224633704759844,0.22860784659851907,52.938043478260866
KF44LNGP,2022-07-05 13:25:35,2022-07-05 14:15:25,2990.0,33.96792802808808,8.279354820955787,0.2437403545517874,39.80741360089186
KF44LNGP,2022-07-05 14:40:05,2022-07-05 15:54:45,4480.0,61.08338793764406,15.338116117507218,0.25110126722448456,52.32149057539683
KF44LNGP,2022-07-05 16:21:35,2022-07-05 18:32:45,7870.0,77.39788227719049,19.456471435999898,0.2513824779639198,40.07241029829976
KF44LNGP,2022-07-05 19:50:55,2022-07-05 20:52:25,3690.0,36.79541703439667,9.504709891694453,0.25831232957108136,38.29354110207769
KF44LNGP,2022-07-05 22:09:15,2022-07-05 22:27:45,1110.0,16.885785115778067,5.452522135906033,0.32290604781007193,64.10698198198199
KF44LNGP,2022-07-06 00:00:05,2022-07-06 00:39:35,2370.0,45.23198932713548,12.274700704058922,0.27137211709357895,70.6477027660572
KF44LNGP,2022-07-06 11:25:05,2022-07-06 12:44:35,4770.0,76.13818531564549,16.85463346979544,0.22136899375682934,56.3805830088849
KF44LNGP,2022-07-06 15:43:05,2022-07-06 19:45:55,14570.0,160.9837767963793,34.8685313638742,0.21659655437192124,39.756099181837
KF44LNGP,2022-07-07 00:14:35,2022-07-07 01:15:55,3680.0,57.10127788168532,15.050194191617473,0.26357018178825514,65.08505434782609
KF44LNGP,2022-07-07 10:58:55,2022-07-07 11:31:15,1940.0,32.8990361548635,8.705552815279907,0.26461422074193364,63.758087874324985
KF44LNGP,2022-07-07 12:40:05,2022-07-07 14:01:35,4890.0,38.460936020833735,9.797531880698905,0.2547398190047097,30.029754601226994
KF44LNGP,2022-07-07 15:12:35,2022-07-07 15:52:25,2390.0,29.17233458756857,7.259006388667842,0.24883186386327744,47.05520688052069
KF44LNGP,2022-07-07 16:48:25,2022-07-07 17:46:55,3510.0,28.738713991811217,6.830104960746513,0.23766216410005947,32.700407000407004
KF44LNGP,2022-07-07 18:39:55,2022-07-07 20:38:05,7090.0,95.63340358214158,19.419319753559964,0.20306000859710377,46.86923903552959
KF44LNGP,2022-07-07 21:25:05,2022-07-07 22:33:15,4090.0,53.078403055211155,14.06858673062455,0.2650529390643247,48.23327511933869
KF44LNGP,2022-07-08 00:34:05,2022-07-08 01:28:15,3250.0,49.931920029945125,11.300697001645139,0.2263221000688116,53.541282051282046
